genle,question,answer(option1),option2,option3,comment
"be動詞・現在","私は学生です。 \n I (    ) a student.", "am", "are", "is", "「私は~です」というときは、I am ~ の形を使います。"
"be動詞・現在","これは私のパソコンです。 \n (    ) is my laptop.", "This", "That", "These", "「これは~です」というときは、This is ~ の形を使います。"
"be動詞・現在","あれは私の家です。 \n (    ) is my house.", "That", "This", "Those", "「あれは~です」というときは、That is ~ の形を使います。"
"be動詞・現在","私は今忙しくないです。 \n I am (    ) busy now.", "not", "no", "like", "「私は~でない」というときは、I am not ~ の形を使います。"
"be動詞・現在","あなたは今週末ひまですか。 \n (    ) you free this weekend?", "Are", "Is", "Am", "「あなたは~ですか」ときくときは、Are you ~ ? の形を使います。"
"be動詞・現在","彼は忙しいですか。 \n (    ) he busy?", "Is", "Are", "Does", "「彼は~ですか」ときくときは、Is he ~ ? の形を使います。"
"be動詞・現在","これは何ですか。 \n What (    ) this?", "is", "are", "do", "「これは何ですか」ときくときは、 What is this? といいます。"
"be動詞・過去","ボブとメアリーは昨日忙しかった。 \n Bob and Mary (    ) busy yesterday.", "were", "was", "are", "主語(~は)が複数で現在形のとき、be 動詞は are を使います。"
"be動詞・過去","私は昨日大阪にいました。 \n I (    ) in Osaka yesterday.", "was", "is", "were", "「~」というときは、 ~ の形を使います。"
"be動詞・過去","ボブは昨日奈良にいました。 \n Bob (    ) in Nara yesterday.", "was", "were", "are", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私はその女の子を知っています。 \n I (    ) the girl.", "know", "knows", "knew", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は犬を飼っていません。 \n I (    ) not have a dog.", "do", "does", "am", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは野球をしますか。 \n (    ) you play baseball?", "Do", "Are", "Does", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは何色が好きですか。 \n What color (    ) you like?", "do", "are", "does", "「~」というときは、 ~ の形を使います。"
"三単現","テツヤはテニスをします。 \n Tetsuya (    ) tennis.", "plays", "play", "is", "「~」というときは、 ~ の形を使います。"
"三単現","彼は犬を飼っています。 \n He (    ) a dog.", "has", "have", "haves", "「~」というときは、 ~ の形を使います。"
"三単現","彼女は音楽が好きですか。 \n (    ) she like music?", "Does", "Is", "Do", "「~」というときは、 ~ の形を使います。"
"三単現","彼女は大阪に住んでいません。 \n She (    ) not live in Osaka.", "does", "do", "is", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は今朝朝食を食べました。 \n I (    ) breakfast this morning.", "had", "have", "eat", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は昨日数学を勉強しました。 \n I (    ) math yesterday.", "studied", "studying", "study", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","私は2日前学校に行きませんでした。 \n I (    ) not go to school two days ago.", "did", "do", "am", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは先週末京都にいきましたか。 \n (    ) you go to Kyoto last weekend?", "Did", "Do", "Do", "「~」というときは、 ~ の形を使います。"
"一般動詞・過去","あなたは昨日何をしましたか。 \n What (    ) you do yesterday?", "did", "do", "does", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は去年アメリカへ行きました。 \n I (    ) to America last year.", "went", "go", "came", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","彼は昨日10時に家に帰りました。 \n He (    ) home at ten yesterday.", "came", "come", "comed", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は彼女に手紙を書きました。 \n I (    ) a letter to her.", "wrote", "write", "writed", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私たちはパーティーで楽しいときを過ごしました。 \n We (    ) a good time at the party.", "had", "have", "haved", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は今朝6時に起きました。 \n I (    ) up at six this morning.", "got", "get", "geted", "「~」というときは、 ~ の形を使います。"
"不規則活用動詞","私は先週ボブに会いました。 \n I (    ) Bob last week.", "saw", "see", "seed", "「~」というときは、 ~ の形を使います。"
"疑問詞","あれは何ですか。 \n (    ) is that?", "What", "Who", "When", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼は誰ですか。 \n (    ) is he?", "Who", "What", "Where", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼女はどこに住んでいますか。 \n (    ) does she live?", "Where", "When", "Why", "「~」というときは、 ~ の形を使います。"
"疑問詞","箱の中に何がありますか。 \n (    ) is in the box?", "What", "Who", "Which", "「~」というときは、 ~ の形を使います。"
"疑問詞","誰が昼食を作りますか。母です。 \n (    ) makes lunch? - My mother does.", "Who", "What", "Whose", "「~」というときは、 ~ の形を使います。"
"疑問詞","あなたは何のスポーツが好きですか。 \n (    ) sport do you like?", "What", "When", "Who", "「~」というときは、 ~ の形を使います。"
"疑問詞","これは誰のものですか。 \n (    ) is this?", "Whose", "Who", "What", "「~」というときは、 ~ の形を使います。"
"疑問詞","どのかばんがあなたのものですか。 \n (    ) bag is yours?", "Which", "Whose", "Where", "「~」というときは、 ~ の形を使います。"
"疑問詞","彼は何歳ですか。 \n How (    ) is he?", "old", "age", "young", "「~」というときは、 ~ の形を使います。"
