"be動詞現在","私は学生です。", "I am a student.", "am", ""
"be動詞現在","これは私のパソコンです。", "This is my laptop.", "This", ""
"be動詞現在","あれは私の家です。", "That is my house.", "That", ""
"be動詞現在","私は今忙しくないです。", "I am not busy now.", "not", ""
"be動詞現在","あなたは今週末ひまですか。", "Are you free this weekend?", "Are", ""
"be動詞現在","彼は忙しいですか。", "Is he busy?", "Is", ""
"be動詞現在","これは何ですか", "What is this?", "is", ""
"be動詞現在","この近くにコンビニがあります。", "There is a convenience store near here.", "is", ""
"be動詞過去","ボブとメアリーは昨日忙しかった。", "Bob and Mary were busy yesterday.", "were", ""
"be動詞過去","公園にたくさん子供がいました。", "There were many children in the park.", "were", ""
"be動詞過去","私は昨日大阪にいました", "I was in Osaka yesterday.", "was", ""
"be動詞過去","ボブは昨日奈良にいました", "Bob was in Nara yesterday.", "was", ""
"一般動詞現在","私はその女の子を知っています。", "I know the girl.", "know", ""
"一般動詞現在","私は犬を飼っていません。", "I do not have a dog.", "do", ""
"一般動詞現在","あなたは野球をしますか。", "Do you play baseball?", "Do", ""
"一般動詞現在","あなたは何色が好きですか。", "What color do you like?", "do", ""
"三単元","テツヤはテニスをします。", "Tetsuya plays tennis.", "plays", ""
"三単元","彼は犬を飼っています。", "He has a dog.", "has", ""
"三単元","彼女は音楽が好きですか。", "Does she like music?", "Does", ""
"三単元","彼女は大阪に住んでいません。", "She does not live in Osaka.", "does", ""
"一般動詞過去","私は今朝朝食を食べました。", "I had breakfast this morning.", "had", ""
"一般動詞過去","私は昨日数学を勉強しました。", "I studied math yesterday.", "studied", ""
"一般動詞過去","私は2日前学校に行きませんでした。", "I did not go to school two days ago.", "did", ""
"一般動詞過去","あなたは先週末京都にいきましたか。", "Did you go to Kyoto last weekend?", "Did", ""
"一般動詞過去","あなたは昨日何をしましたか。", "What did you do yesterday?", "did", ""
"不規則活用動詞","私は去年アメリカへ行きました", "I went to America last year.", "went", "" 
"不規則活用動詞","彼は昨日10時に家に帰りました。", "He came home at ten yesterday.", "came", ""
"不規則活用動詞","私は彼女に手紙を書きました。", "I wrote a letter to her.", "wrote", ""
"不規則活用動詞","私たちはパーティーで楽しいときを過ごしました。", "We had a good time at the party.", "had", ""
"不規則活用動詞","私は今朝6時に起きました。", "I got up at six this morning.", "got", ""
"不規則活用動詞","私は先週ボブに会いました。", "I saw Bob last week.", "saw", ""
"疑問詞","あれは何ですか。", "What is that?", "What", ""
"疑問詞","彼は誰ですか。", "Who is he?", "Who", ""
